d_f,a
0.0,38.655
0.01,85.735
0.02,86.685
0.03,86.525
0.04,87.595
0.05,87.9
0.06,88.06
0.07,88.42500000000001
0.08,88.27
0.09,87.84
0.1,88.38
0.11,88.2
0.12,88.07499999999999
0.13,88.6
0.14,87.995
0.15,88.56
0.16,88.11
0.17,88.35
0.18,88.24000000000001
0.19,88.30000000000001
0.2,88.15
0.21,88.285
0.22,87.92
0.23,88.21000000000001
0.24,88.09
0.25,88.315
0.26,88.02
0.27,88.06
0.28,88.055
0.29,88.195
0.3,88.185
0.31,87.91499999999999
0.32,87.84
0.33,88.31
0.34,87.755
0.35000000000000003,87.85
0.36,87.88
0.37,88.285
0.38,88.06
0.39,87.87
0.4,88.0
0.41000000000000003,87.86
0.42,88.025
0.43,88.02
0.44,88.19
0.45,87.85499999999999
0.46,88.235
0.47000000000000003,88.03
0.48,88.07499999999999
0.49,88.205
0.5,88.155
0.51,88.27000000000001
0.52,88.55
0.53,88.49000000000001
0.54,88.48
0.55,88.47
0.56,88.86500000000001
0.5700000000000001,88.63499999999999
0.58,88.435
0.59,88.655
0.6,88.525
0.61,88.605
0.62,88.425
0.63,88.415
0.64,88.55
0.65,88.635
0.66,88.245
0.67,87.905
0.68,88.22
0.6900000000000001,88.225
0.7000000000000001,87.825
0.71,88.12
0.72,87.725
0.73,87.82499999999999
0.74,86.995
0.75,87.44
0.76,87.15
0.77,87.09
0.78,86.705
0.79,86.19999999999999
0.8,87.385
0.81,87.255
0.8200000000000001,86.78999999999999
0.8300000000000001,86.38499999999999
0.84,86.495
0.85,86.38499999999999
0.86,86.37
0.87,86.52000000000001
0.88,86.67
0.89,85.00999999999999
0.9,85.45500000000001
0.91,85.11000000000001
0.92,86.57
0.93,86.07
0.9400000000000001,85.67
0.9500000000000001,85.83000000000001
0.96,86.195
0.97,85.22999999999999
0.98,85.095
0.99,86.005
